,accuracy,precision,recall,f1,false_alarm_rate,n
reactive,0.8695652173913043,1.0,0.5384615384615384,0.7000000000000001,0.0,1380.0
rebs,0.8746376811594203,1.0,0.5564102564102564,0.71499176276771,0.0,1380.0
