method,total_cost_mean,total_cost_std,peak_reduction_mean,peak_reduction_std,completion_mean,completion_std,efc_mean,efc_std,v2g_mean,v2g_std,violations_mean,violations_std
nominal,-133.60321571226137,23.834281536472723,3.3625609352439385,12.356781267691057,100.0,0.0,2.0168820654339106,0.004708899396218585,88.91916162776563,5.1869203179969805,0.0,0.0
unaware,-134.03308622709153,23.465715614011877,3.3604123848464993,12.341998083591678,82.5,8.506963092234006,2.019256831010334,0.005951791342642781,88.8918430607063,5.154088112494688,1.75,0.8506963092234007
reactive,-132.47761934319246,23.583676665792318,2.7659344947107614,12.457574905268022,85.0,6.8824720161168536,1.999117584345423,0.021095219346086557,88.8835320356329,5.151857694282566,1.5,0.6882472016116853
rebs,-127.74355144350912,23.520923600287336,1.9820731828571752,12.381865275203358,97.5,5.5011960422018085,1.9435852623880774,0.029993171643886977,88.78227997650536,4.939273905142915,0.25,0.5501196042201808
