method,total_cost,peak_kw,peak_reduction_pct,completion_rate_pct,constraint_violations,bess_efc,degr_cost,v2g_revenue,ev_discharge_kwh,mean_solve_time,max_solve_time,seed
Unaware (baseline),-172.08551087397262,105.62801386527926,3.997731077296073,100.0,0,2.00350128425,0.3205602054800001,90.031778158872,290.75495555000003,0.12988317012786865,0.16694378852844238,1
Unaware (baseline),-155.76396810779252,99.57416701415444,10.41079486444895,100.0,0,2.0302012825714284,0.32513840379333336,86.54274036186591,286.979071315,0.12160611152648926,0.1434314250946045,2
Unaware (baseline),-153.15153279198736,98.40122269873896,10.636430645773306,100.0,0,2.018718837142857,0.32299501393666674,84.51659154715176,279.5723380500024,0.11876332759857178,0.14638710021972656,3
Unaware (baseline),-113.33720807899165,91.59564242715646,-1.9731715669697398,100.0,0,2.0187188374,0.32299501391333346,90.78684008800305,292.7663624200012,0.10836482048034668,0.12844109535217285,4
Unaware (baseline),-136.2486827740858,93.66791247645178,5.908212122043552,100.0,0,2.01871883675,0.3229950138800001,90.71152004281247,292.6789335449994,0.11881208419799805,0.13608002662658691,5
Unaware (baseline),-111.81174357709082,91.74476358698143,6.049359375375779,100.0,0,2.0257126524,0.3239275225866668,86.1718159735775,289.1681017,0.11804437637329102,0.1410832405090332,6
Unaware (baseline),-177.39965028450672,110.08464005752546,7.45971067134297,100.0,0,2.0261268738125,0.32418029981000007,98.3428664842369,322.857565954993,0.11287927627563477,0.13861370086669922,7
Unaware (baseline),-132.22222671708505,95.95419957973289,-5.315127302444329,90.0,1,2.0187188359166663,0.3229950138200001,89.86288865070951,299.2258959687491,0.13028013706207275,0.15695548057556152,8
Unaware (baseline),-112.43386873256692,95.46259987930294,8.984069376625694,90.0,1,2.01871883643,0.32299501388333346,94.35188146194389,311.27729049999834,0.14920341968536377,0.204270601272583,9
Unaware (baseline),-115.07925602351531,92.51193972448522,19.926604405783237,100.0,0,2.01871883498,0.322995013604,91.57909583119928,293.6803936499994,0.13382112979888916,0.16356515884399414,10
Margin only (no reconstruction),-163.31683079088637,107.09717086322497,2.6624564655217164,100.0,0,1.919290199875,0.30708643197999985,90.031778158872,290.75495555000003,0.12758362293243408,0.14922595024108887,1
Margin only (no reconstruction),-149.34936452144464,101.23944527119386,8.912505098625754,100.0,0,1.9543113604714284,0.31152703964933326,86.54274036186591,286.979071315,0.12477004528045654,0.1524665355682373,2
Margin only (no reconstruction),-149.5525495155398,99.97168913707225,9.210203586480064,100.0,0,1.9832774672142857,0.3169177971533333,84.51659154715176,279.5723380500024,0.12594377994537354,0.15183615684509277,3
Margin only (no reconstruction),-108.0309070600946,92.83023742715646,-3.3476427144464793,100.0,0,1.938359594600008,0.30780765458666787,90.78684008800305,292.7663624200012,0.11949765682220459,0.14220046997070312,4
Margin only (no reconstruction),-128.89151314983982,95.24972955149894,4.319236850234379,100.0,0,1.9249587597250066,0.3079934015560011,90.71152004281247,292.6789335449994,0.12894904613494873,0.15485405921936035,5
Margin only (no reconstruction),-107.45740983899628,92.87765179823342,4.889232420530027,100.0,0,1.9410927519000079,0.31213049222000155,86.1718159735775,289.1681017,0.11812996864318848,0.1396956443786621,6
Margin only (no reconstruction),-168.49978336566747,111.605017085647,6.181638362640414,100.0,0,1.9311229715000002,0.30897967543999993,98.3428664842369,322.857565954993,0.11286687850952148,0.13057327270507812,7
Margin only (no reconstruction),-123.96164038867596,97.19748184791598,-6.679699472501076,100.0,0,1.8995155461125075,0.30780454833700155,89.86288865070951,299.2258959687491,0.13034701347351074,0.1565232276916504,8
Margin only (no reconstruction),-106.95287356019665,96.6515154379372,7.850533770655179,100.0,0,1.9398643353600082,0.3080153553453344,94.35188146194389,311.27729049999834,0.11702275276184082,0.14049339294433594,9
Margin only (no reconstruction),-111.2735076728408,93.78243612448523,18.82693055675136,100.0,0,1.9567568223317593,0.3113930511509012,91.57909583119928,293.6803936499994,0.14902687072753906,0.20711278915405273,10
