method,completion_mean,completion_std,cost_mean,efc_mean,violations_mean
Full REB-S,98.0,6.324555320336759,-131.18226112041572,1.9443452707427902,0.2
No state reconstruction,98.0,6.324555320336759,-131.70794499991842,1.9458235883733352,0.2
No robust departure,85.0,7.0710678118654755,-131.18124390575846,1.944329001531172,1.5
No risk margin/derate,91.0,11.00504934614612,-137.25960831762802,2.0174114422213103,0.9
Detector only (all off),83.0,6.749485577105529,-137.78427078140422,2.018884101905238,1.7
