n_ev,n_bess,mean_solve_time,max_solve_time,n_detection_calls,measured_inference_ms,wall_time_total,peak_rss_mb
5,1,0.055739641189575195,0.06602621078491211,7,0.3934144973754883,0.11682963371276855,640.0625
10,2,0.1077190637588501,0.1306004524230957,14,0.5707859992980957,0.22548937797546387,640.0625
20,4,0.26145458221435547,0.30742716789245605,28,1.1320710182189941,0.542172908782959,640.0625
40,8,0.698144793510437,0.8938825130462646,54,2.0733237266540527,1.4352285861968994,640.0625
80,16,1.8266319036483765,2.0698835849761963,108,3.666532039642334,3.7298338413238525,640.27734375
100,20,2.41963529586792,2.9380247592926025,136,3.8269400596618652,4.925190687179565,649.91015625
160,32,7.252914309501648,8.499629259109497,213,6.308150291442871,14.645938158035278,680.33984375
200,40,9.92654573917389,10.975812196731567,268,7.928955554962157,20.05351710319519,700.33203125
