tau_cap_hours,completion_mean,completion_std,cost_mean,violations_mean
0.0,98.0,6.324555320336759,-131.18226112041572,0.2
0.5,90.0,8.16496580927726,-131.27078161869855,1.0
1.0,85.0,7.0710678118654755,-131.18016632767907,1.5
2.0,85.0,7.0710678118654755,-131.18124390575846,1.5
